link,category,title,information,original_price,discount_price
https://www.trendyol.com//maybelline-new-york/siyah-eyeliner-hyper-precise-all-day-eyeliner-matte-black-3600531502768-p-2835724?boutiqueId=528647&merchantId=107819,Eyeliner,Siyah Eyeliner - Hyper Precise All Day Eyeliner Matte Black 3600531502768 PRECISELINER,Çok amaçlı kullanılabilir İnce eyeliner uygulaması için kalem ucunu sivri olarak açabilirsiniz Ambalajı açılan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.,"54,90 TL","32,94 TL"
https://www.trendyol.com//elseve/loreal-color-vive-silver-mor-sampuan-200-ml-p-5217290?boutiqueId=528647&merchantId=107819,Şampuan,Loreal Color-Vive Silver Mor Şampuan 200 ml 3600523699148,"Elseve Turunculaşma Karşıtı Mor Şampuan mor renklendiriciler ve U V filtresi içeren formülü ile karşıt tonları nötralizeeder ve istenmeyen turuncu, sarı renkteki yansımalara karşı savaşır. İlk kullanımdan itibaren etkisini gösterir, saçların parlak ve güzel görünmesini sağlar. Kullanım: Haftada 1 kere ıslak saçınıza Elseve Color- Vive Bakım Ailesirutininiz sırasında 1-3 dakika masaj yaparak uygulayın ve iyice durulayın. ( Rengi açılan kumral saçlar için 5 dakikaya kadar bekletin. ) %100 orjinaldir. Ambalajı açılan ürünlerin iadesi kabul edilememektedir. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","29,90 TL","22,90 TL"
https://www.trendyol.com//maybelline-new-york/likit-mat-ruj-superstay-matte-ink-liquid-lipstick-65-seductress-3600531469498-p-2835740?boutiqueId=528647&merchantId=107819,Ruj,Likit Mat Ruj - SuperStay Matte Ink Liquid Lipstick 65 Seductress 3600531469498 FP5020D3P_FG,"Sıradışı matlıkta sıradışı nude renkleri keşfedin16 saate kadar kalıcı, süper mat jel formül Uygulayın, kurumasını bekleyın, 16 saate kadar kalıcı renkler ile tanışın Ok şeklinde tasarlanmış uygulama ucu dudağın tüm kıvrımlarını yakalar ve tek hamlede mat bitiş sağlarÜrün %100 orijinaldir. Ambalajı açılan ürünlerin iadesi kabul edilmemektedir. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","59,90 TL","35,94 TL"
https://www.trendyol.com//l-oreal-paris/suya-dayanikli-siyah-maskara-unlimited-very-different-waterproof-mascara-black-3600523670079-p-6078865?boutiqueId=528647&merchantId=107819,Maskara,Suya Dayanıklı Siyah Maskara - Unlimited Very Different Waterproof Mascara Black 3600523670079,"Bambaşka bir waterproof deneyimi! Suya dayanıklı maskara çıkarma problemi unlimited very different waterproof maskara ile geride kaldı! Ilık suyla kolayca çıkan ilk suya dayanıklı maskara! Unlimited very different waterproof maskara 48 saat suya dayanıklı formülü ile akma ve bulaşma yapmaz, lifting etkili bükülebilen fırçası ile uzun ve kalkık kirpiklere sahip olmanızı sağlarÜrün %100 orijinaldir Ambalajı açılan ürünlerin iadesi kabul edilmemektedir. Ürün %100 orijinaldir. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","114,90 TL","68,94 TL"
https://www.trendyol.com//maybelline-new-york/kapatici-instant-age-eraser-concealer-01-light-6-8-ml-3600530733842-p-1262981?boutiqueId=528647&merchantId=107819,Kapatıcı,Kapatıcı - Instant Age Eraser Concealer 01 Light 6.8 ml 3600530733842 IARCNCLR,Ürün adı: Maybelline new york ınstant age rewind kapatıcı lightürün açıklaması:Özel formülüyle göz çevresindeki yorgunluk izlerini gizleyen kapatıcı. tüm cilt tipleri içintür: Kapatıcılight Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.,"72,90 TL","43,74 TL"
https://www.trendyol.com//l-oreal-paris/kaldirma-etkili-siyah-maskara-unlimited-mascara-black-3600523463664-p-3670639?boutiqueId=528647&merchantId=107819,Maskara,Kaldırma Etkili Siyah Maskara - Unlimited Mascara Black 3600523463664,"12 kat daha etkili ve 24 saat süreli hacim sağlar. Içeriğindeki kolajen formül ile kirpiklere 12 kat hacim verir. Yumuşak, lüks ve mega fırça yapısı ile kirpiklerinizde herhangi bir topaklanma olmadan maksimum ve hacimli kirpiklere kavuşmanızı sağlar. Oftalmolojik ve alerji testleri yapılmıştır. Hassas gözler ve kontakt lens kullananlar için uygundur. Ürün %100 orijinaldir. Ambalajı açılan ürünlerin iadesi kabul edilmemektedir. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","114,90 TL","68,94 TL"
https://www.trendyol.com//l-oreal-paris/nem-terapisi-seker-peeling-kivi-tohum-saf-kil-detoks-maskesi-3-lu-cilt-bakim-seti-36005234248943-p-7060935?boutiqueId=528647&merchantId=107819,Cilt Bakım Seti,Nem Terapisi + Şeker Peeling Kivi Tohum +Saf Kil Detoks Maskesi 3'lü Cilt Bakım Seti 36005234248943,Set içeriği: Nem Terapisi Aloe Vera Suyu Normalden Karmaya Ciltler için Su Bazlı Günlük Bakım Saf Kil Detoks Maskesi 50 mlŞeker Peelingi Siyah Nokta Karşıtı – Kivi Tohum Ambalajı açılan ürünlerin iadesi kabul edilmemektedir. Ürün %100 Orijinaldir. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.,"204,70 TL","133,06 TL"
https://www.trendyol.com//maybelline-new-york/lash-sensational-yelpaze-etkili-siyah-maskara-3600531143459-p-1262975?boutiqueId=528647&merchantId=107819,Maskara,Lash Sensational Yelpaze Etkili Siyah Maskara 3600531143459,"Tek tek ayrılmış, dolgun ve hacimli kirpikler için Lash Sensational Maskara. Çok sevdiğin etki şimdi yaban gülü yağı içeren formül ve yenilenen ambalajıyla. Yelpaze etkili fırçası ile en kısa kirpikleri bile yakalar, farklı kirpik tiplerinde mükemmel sonuç verir. Yaban gülü yağı içeren formülü sayesinde kirpiklerde ağırlık hissi bırakmaz. 1. Adım: Fırçanın iç tarafı ile kirpik köklerine ulaşabilir, en kısa kirpiklerini bile ortaya çıkarabilirsin. 2. Adım: Fırçanın dış tarafı ile dış kirpikleri yakalayabilir ve kirpiklerine dolgun bir görünüm verebilirsin Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","69,90 TL","38,99 TL"
https://www.trendyol.com//l-oreal-paris/nem-terapisi-aloe-vera-suyu-normalden-karmaya-ciltler-icin-su-bazli-gunluk-bakim-3600523424894-p-2279200?boutiqueId=528647&merchantId=107819,Nemlendirici Krem,Nem Terapisi Aloe Vera Suyu Normalden Karmaya Ciltler için Su Bazlı Günlük Bakım 3600523424894 C3,"L'oréal paris nem terapisi ilk* su bazlık günlük bakımı keşfetanında nemlendirir ve ferahlatır: Su bazlı likit dokusu anında emilir ve yoğun bir şekilde nem sağlarken anında ferahlık verir. cilde nemi hapseder: Işıltılı bir cilt için yoğun bir şekilde etki eden formülü ile nemi cilde hapseder. 72 saat** boyunca etkili nemlendirme sağlar. *l'oréal paris'ten**ınstrumental test, 26 kişihızlı ve gözle görülebilir sonuçlaranında: Daha ferah, yumuşak, esnek ve canlı görünen bir cilt. günden güne: Işıltılı bir güzelliğe sahip, yoğun ve etkili nemlendirilmiş bir cilt. her sabah ve akşam, temiz ve kuru cildinize uygulayın. Yüzünüze ve boynunuza dairesel hareketlerle masaj yaparak cildinize daha iyi nüfuz etmesini sağlayın. Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","84,90 TL","49,90 TL"
https://www.trendyol.com//nyx-professional-makeup/siyah-eyeliner-epic-ink-liner-black-800897085605-p-1021191?boutiqueId=519694&merchantId=107819,Eyeliner,Siyah Eyeliner - Epic Ink Liner Black 800897085605 NYXPMUEIL,"Epic Ink Liner ile uğraşmadan, simsiyah ve profesyonel bir eyeliner uygulaması yapmak ister misiniz? Yumuşak ve esnek kıl fırça ucu sayesinde keskin bir bitiş yakalamanızı sağlayacak Simsiyah, opak ve tüm gün kalıcı yapısı ile kendine hayran bırakacak Vegan formüle sahiptir Hiçbir hayvansal içerik içermemektedir Ambalajı açılan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","64,90 TL","49,90 TL"
https://www.trendyol.com//garnier/gunluk-cilt-bakim-seti-hyaluronik-aloe-jel-50-mlhyaluronik-aloe-temizleme-jel-200-ml-36005422319781-p-38806599?boutiqueId=528647&merchantId=107819,Nemlendirici Krem,Günlük Cilt Bakım Seti-Hyaluronik Aloe Jel 50 ml&Hyaluronik Aloe Temizleme Jel 200 ml 36005422319781,Ambalajı açılan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.,"72,80 TL","41,90 TL"
https://www.trendyol.com//maybelline-new-york/falsies-lash-lift-kaldirma-etkili-siyah-maskara-3600531584696-p-35108329?boutiqueId=528647&merchantId=107819,Maskara,Falsies Lash Lift Kaldırma Etkili Siyah Maskara 3600531584696 FALSIESMSCRA,"Profesyonel uygulamalardan ilham alınarak üretilen kirpik lifting etkili falsies lash lift maskara ile dramatik uzun görünüm, hacimli ve kıvrık görünen kirpikler. Çift taraflı eğimli fırçası ile kirpikleri kökten uca kavrayarak kalınlaştırır ve kaldırır! Gün boyu kalıcı etki için sen de dene! Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","79,90 TL","48,89 TL"
https://www.trendyol.com//l-oreal-paris/bambi-eye-extra-black-ceylan-goz-etkili-maskara-ekstra-siyah-30178564-p-35799269?boutiqueId=528647&merchantId=107819,Maskara,Bambi Eye Extra Black Ceylan Göz Etkili Maskara Ekstra Siyah 30178564,Bambi Eye Extra Black Ceylan Göz Etkili Maskara Ekstra Siyah 30178564 Ambalajı açılan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.,"99,90 TL","59,94 TL"
https://www.trendyol.com//nyx-professional-makeup/goz-fari-paleti-ultimate-shadow-pallette-warm-neutrals-p-1995598?boutiqueId=519694&merchantId=107819,Göz Farı,Göz Farı Paleti - Ultimate Shadow Pallette Warm Neutrals NYXPMUUSP,"Profesyonel seviyede bir far paleti karşınızda! 16 birbirinden farklı bütünleyici renkler ile mat, metalik, ışıltılı ve saten sonuçların birleştiği zengin sonuç veren bu palet serisi ile istediğiniz makyajı profesyonelce elde edebilirsiniz Yumuşacık kadifemsi dokusu ve tozutmayan formülü ile mükemmel göz makyajı sizi bekliyor! Ürün %100 orijinaldir Ambalajı açılan ürünlerin iadesi kabul edilmemektedir Kampanya fiyatından satılmak üzere 100 adetten fazla stok sunulmuştur.","179,00 TL","129,99 TL"
